Zip_Code,Population,Population_Density,Housing_Units,Median_Home_Value,Occupied_Housing_Units,Median_Household_Income,Gender_Male,Gender_Female,Race_White,Race_Black,Race_Indian,Race_Asian,Race_Hawaiian,Race_Other,Race_Mixed,Whole_Family,Single_Guardian,Singles,Single_With_Roomate,Owned_With_Mortgage,Owned_No_Mortgage,Renter,Vacant,Full_Time,Part_Time,Unemployed
77086,"28,009","4,129","8,375","$93,500 ","7,758","$42,030 ","13,864","14,145","11,718","7,282",249,"2,014",9,"5,658","1,079","4,035","2,289","1,123",311,"3,570",926,"3,262",617,"8,244","4,741","6,473"
77494,"61,600","1,511","20,283","$262,100 ","19,282","$126,425 ","30,150","31,450","45,685","3,800",215,"8,334",47,"1,824","1,695","14,806","1,924","2,140",412,"14,697","1,939","2,646","1,001","26,290","8,801","14,032"
77380,"23,136","1,861","11,248","$176,700 ","10,186","$67,616 ","11,388","11,748","19,267","1,139",92,955,34,"1,051",598,"4,439","1,567","3,415",765,"3,483","1,357","5,346","1,062","9,757","5,031","4,790"
77461,"10,679",72,"4,017","$114,900 ","3,675","$59,220 ","5,371","5,308","8,230",570,54,66,2,"1,508",249,"2,260",586,721,108,"1,746","1,281",648,342,"3,836","1,275","2,398"
77545,"19,431","1,595","6,125","$135,700 ","5,749","$67,970 ","9,325","10,106","3,722","11,945",129,235,4,"2,822",574,"3,173","1,571",804,201,"4,056",787,906,376,"7,334","2,806","3,720"
77520,"36,489","1,524","14,316","$76,100 ","12,255","$43,409 ","18,064","18,425","23,140","4,640",256,354,18,"7,046","1,035","5,880","2,983","2,792",600,"3,907","3,527","4,821","2,061","10,819","6,266","10,817"
77346,"53,578","3,086","18,490","$156,600 ","17,768","$86,523 ","26,403","27,175","38,778","8,311",206,"1,644",154,"2,949","1,536","11,848","2,692","2,605",623,"13,040","1,961","2,767",722,"20,829","9,115","10,000"
77502,"37,995","6,767","12,079","$93,000 ","11,291","$43,014 ","18,884","19,111","28,748",687,287,157,9,"6,817","1,290","6,133","2,692","1,977",489,"4,369","2,793","4,129",788,"9,972","6,070","9,877"
77433,"50,539",866,"16,596","$173,100 ","15,497","$89,258 ","24,939","25,600","33,474","7,658",220,"3,443",26,"4,120","1,598","10,674","2,316","1,943",564,"11,725","1,233","2,539","1,099","19,042","9,001","9,815"
77373,"54,609","2,302","19,307","$110,900 ","18,160","$67,742 ","26,539","28,070","34,864","10,625",320,"1,745",203,"5,066","1,786","10,159","3,988","3,100",913,"11,341","2,276","4,543","1,147","21,700","8,414","10,831"
77449,"94,382","3,158","29,238","$118,500 ","27,742","$65,420 ","45,980","48,402","52,621","17,581",679,"4,720",74,"14,609","4,098","16,805","6,164","3,737","1,036","19,498","2,052","6,192","1,496","35,006","15,580","17,298"
77479,"74,514","2,254","24,980","$275,400 ","24,076","$123,935 ","36,489","38,025","38,546","5,187",147,"27,192",26,"1,195","2,221","18,367","2,371","2,913",425,"16,009","4,358","3,709",904,"28,810","11,929","17,959"
77469,"35,321",270,"11,767","$152,700 ","11,020","$67,088 ","17,795","17,526","19,841","7,794",166,"2,472",10,"4,020","1,018","6,315","2,313","1,911",481,"6,245","1,971","2,804",747,"13,727","5,688","8,387"
77357,"19,987",318,"7,318","$101,000 ","6,647","$48,979 ","9,942","10,045","16,951",433,174,97,12,"1,855",465,"3,881","1,313","1,152",301,"2,839","2,256","1,552",671,"5,709","3,877","5,535"
77379,"70,544","2,807","25,531","$190,200 ","24,124","$97,692 ","34,910","35,634","53,242","5,268",260,"6,463",64,"3,129","2,118","16,397","3,160","3,738",829,"16,041","3,842","4,241","1,407","28,205","10,620","15,700"
77493,"23,104",400,"7,643","$148,900 ","7,296","$78,452 ","11,549","11,555","17,588","1,482",143,549,9,"2,673",660,"4,817","1,279",931,269,"4,728","1,288","1,280",347,"8,988","4,092","4,484"
77536,"30,690","2,452","11,157","$133,500 ","10,676","$77,824 ","15,084","15,606","26,693",351,207,453,26,"2,327",633,"6,594","1,810","1,890",382,"6,121","2,525","2,030",481,"11,369","5,043","7,263"
77530,"31,086","2,363","9,822","$86,900 ","9,015","$44,786 ","15,710","15,376","18,081","3,799",265,366,23,"7,358","1,194","5,068","2,235","1,371",341,"3,989","2,102","2,924",807,"9,152","5,037","7,176"
77377,"28,708",738,"10,136","$193,000 ","9,709","$87,474 ","14,236","14,472","23,182","1,271",115,"1,796",6,"1,673",665,"6,651","1,173","1,517",368,"6,572","1,730","1,407",427,"10,504","5,020","6,186"
77547,"9,735","3,652","2,945","$70,100 ","2,709","$38,692 ","4,906","4,829","6,208",744,73,11,1,"2,393",305,"1,547",670,405,87,935,856,918,236,"2,586","1,430","3,032"
77388,"40,384","2,903","14,196","$147,500 ","13,693","$82,936 ","19,800","20,584","29,855","3,400",192,"2,922",47,"2,797","1,171","8,997","2,075","2,087",534,"9,509","2,268","1,916",503,"16,146","5,960","8,146"
77535,"31,295",100,"10,512","$92,700 ","9,394","$54,553 ","15,015","16,280","24,311","3,216",211,139,17,"2,846",555,"5,592","1,639","1,770",393,"4,311","3,233","1,850","1,118","8,410","4,578","11,836"
77590,"30,374","1,722","12,489","$91,600 ","11,124","$45,343 ","14,790","15,584","19,377","5,987",208,275,19,"3,553",955,"4,897","2,885","2,786",556,"3,837","2,854","4,433","1,365","9,129","5,672","8,511"
77068,"10,064","2,646","4,180","$165,200 ","3,642","$67,945 ","4,979","5,085","5,367","2,353",40,806,10,"1,191",297,"2,130",630,685,197,"1,800",760,"1,082",538,"4,489","1,330","2,412"
77551,"17,753","4,655","10,330","$125,900 ","7,007","$42,575 ","9,052","8,701","11,659","2,569",128,539,6,"2,302",550,"2,720","1,422","2,343",522,"1,837","1,714","3,456","3,323","5,905","4,504","4,825"
77554,"8,863",250,"9,546","$247,800 ","3,935","$64,583 ","4,620","4,243","7,938",244,42,222,3,215,199,"1,922",307,"1,303",403,"1,620","1,005","1,310","5,611","2,942","2,436","2,459"
77539,"38,806",770,"15,386","$134,100 ","13,912","$66,129 ","19,309","19,497","27,415","4,596",243,"1,198",20,"4,171","1,163","7,274","2,725","3,041",872,"6,664","3,340","3,908","1,474","13,847","7,426","9,293"
77385,"19,534",896,"6,887","$155,800 ","6,550","$82,175 ","9,719","9,815","16,092","1,085",143,586,12,"1,083",533,"4,241",945,"1,083",281,"4,373","1,120","1,057",337,"8,334","2,687","3,884"
77578,"12,672",340,"4,613","$189,700 ","4,313","$92,826 ","6,281","6,391","8,245","1,970",49,"1,163",8,918,319,"2,831",617,699,166,"2,891",972,450,300,"5,897","2,117","2,912"
77429,"72,264","1,883","25,165","$187,000 ","24,208","$96,695 ","35,600","36,664","56,644","5,350",371,"4,239",54,"3,779","1,827","16,459","3,313","3,485",951,"16,877","3,386","3,945",957,"28,141","11,998","13,279"
77389,"21,255","1,019","7,569","$190,700 ","7,039","$99,702 ","10,474","10,781","17,562",933,97,566,2,"1,613",482,"4,957",927,914,241,"5,005","1,276",758,530,"8,612","3,978","5,055"
77503,"24,251","2,833","8,883","$88,600 ","8,018","$44,939 ","11,946","12,305","18,641",601,233,134,16,"3,951",675,"3,843","1,907","1,893",375,"2,856","1,632","3,530",865,"7,247","4,497","6,523"
77386,"36,407",904,"12,870","$164,900 ","12,149","$82,747 ","17,951","18,456","28,840","2,689",221,"1,130",57,"2,357","1,113","7,794","1,862","1,824",669,"8,792","1,114","2,243",721,"17,076","6,094","6,917"
77505,"23,223","2,537","8,881","$160,700 ","8,183","$72,695 ","11,429","11,794","18,459",536,165,"1,186",20,"2,309",548,"4,750","1,497","1,579",357,"4,307","1,495","2,381",698,"9,041","4,274","4,985"
77407,"28,595","1,518","9,478","$165,800 ","9,074","$85,219 ","13,791","14,804","11,465","8,192",114,"5,733",2,"2,082","1,007","5,786","1,615","1,299",374,"7,382",391,"1,301",404,"12,594","4,871","6,182"
77362,"4,600",565,"1,703","$133,100 ","1,582","$59,576 ","2,285","2,315","3,829",82,27,29,1,544,88,988,256,277,61,873,432,277,121,"1,562",864,"1,104"
77586,"20,970","1,615","9,487","$190,100 ","8,304","$86,786 ","10,628","10,342","18,079",745,88,901,24,621,512,"4,509","1,160","2,153",482,"4,364","1,491","2,449","1,183","8,373","3,828","4,815"
77518,"8,673","3,158","3,427","$78,800 ","3,022","$40,612 ","4,439","4,234","6,444",300,65,244,6,"1,377",237,"1,447",648,727,200,"1,172",814,"1,036",405,"2,715","1,365","1,805"
77381,"34,961","2,667","13,948","$277,800 ","13,456","$101,383 ","16,713","18,248","31,499",782,122,"1,279",14,570,695,"8,891","1,360","2,882",323,"8,064","2,414","2,978",492,"12,450","6,832","9,733"
77406,"33,682",519,"11,373","$215,700 ","10,923","$110,294 ","17,791","15,891","26,389","3,903",154,"1,301",4,"1,208",723,"7,846","1,317","1,425",335,"7,939","1,749","1,235",450,"13,166","5,019","9,214"
77328,"13,993",86,"5,321","$85,700 ","4,704","$48,250 ","7,028","6,965","12,120",300,117,50,4,"1,153",249,"2,725",878,895,206,"2,032","1,902",770,617,"4,949","2,347","4,537"
77371,"7,665",60,"3,159","$67,800 ","2,684","$38,595 ","3,806","3,859","6,213",678,49,58,5,496,166,"1,385",552,621,126,833,"1,263",588,475,"2,156","1,542","2,558"
77498,"49,906","3,223","15,554","$159,100 ","14,948","$72,232 ","25,002","24,904","20,937","7,956",218,"14,950",28,"3,996","1,821","9,840","2,693","1,951",464,"9,533","2,435","2,980",606,"19,768","7,726","12,406"
77327,"20,160",63,"8,267","$79,200 ","7,016","$46,936 ","10,159","10,001","15,681","2,033",110,120,3,"1,810",403,"3,652","1,393","1,653",318,"2,369","2,684","1,963","1,251","5,682","3,260","6,742"
77355,"24,010",421,"8,449","$167,400 ","7,988","$71,326 ","12,002","12,008","21,475",341,162,119,6,"1,490",417,"5,489","1,130","1,097",272,"4,917","1,799","1,272",461,"8,497","4,525","5,903"
77474,"12,782",61,"5,233","$141,500 ","4,605","$56,905 ","6,371","6,411","9,761","1,169",37,73,0,"1,388",354,"2,659",788,976,182,"2,000","1,414","1,191",628,"4,762","1,835","3,262"
77384,"11,857",678,"5,593","$225,100 ","5,260","$80,032 ","5,739","6,118","10,404",366,75,481,8,310,213,"2,806",507,"1,689",258,"2,238","1,108","1,914",333,"5,051","1,980","3,232"
77318,"14,281",372,"6,780","$166,100 ","5,640","$78,194 ","7,017","7,264","12,686",549,88,98,13,545,302,"3,390",819,"1,160",271,"3,009","1,561","1,070","1,140","4,888","2,505","3,594"
77550,"23,043","3,069","14,615","$117,200 ","9,972","$32,447 ","11,696","11,347","12,056","6,355",243,780,16,"2,724",869,"2,789","2,244","3,938","1,001","2,141","2,063","5,768","4,643","6,617","5,634","6,421"
77372,"12,164",234,"4,544","$75,800 ","4,094","$44,896 ","6,015","6,149","10,766",115,73,49,2,930,229,"2,368",806,720,200,"1,701","1,616",777,450,"3,616","2,116","3,622"
77485,"4,054",49,"1,769","$135,800 ","1,535","$60,900 ","2,029","2,025","3,063",430,20,22,0,429,90,902,221,341,71,637,572,326,234,"1,507",367,"1,201"
77010,366,"2,965",471,"$526,300 ",249,"$250,001 ",206,160,305,26,5,21,0,2,7,71,4,149,25,12,9,228,222,372,50,114
