Zip_Code,Population,Population_Density,Housing_Units,Median_Home_Value,Occupied_Housing_Units,Median_Household_Income,Gender_Male,Gender_Female,Race_White,Race_Black,Race_Indian,Race_Asian,Race_Hawaiian,Race_Other,Race_Mixed,Whole_Family,Single_Guardian,Singles,Single_With_Roomate,Owned_With_Mortgage,Owned_No_Mortgage,Renter,Vacant,Full_Time,Part_Time,Unemployed
77027,"14,331","5,007","10,203","$475,900 ","8,477","$81,661 ","7,002","7,329","11,834",704,36,"1,068",12,407,270,"2,452",576,"4,534",915,"1,971","1,158","5,348","1,726","8,398","2,883","2,963"
77009,"38,094","6,164","15,705","$163,000 ","13,923","$44,651 ","19,669","18,425","24,476","2,549",330,339,23,"9,114","1,263","5,181","3,243","4,206","1,293","4,285","3,203","6,435","1,782","13,279","7,818","10,060"
77081,"47,860","15,456","19,352","$217,100 ","16,569","$26,741 ","26,165","21,695","24,539","4,834",487,"2,673",12,"12,305","3,010","5,869","4,328","4,495","1,877",692,420,"15,457","2,783","14,139","8,600","8,174"
77023,"28,998","5,322","10,646","$102,700 ","9,129","$36,033 ","14,964","14,034","17,875",696,274,302,17,"8,683","1,151","4,079","2,313","2,058",679,"2,297","2,014","4,818","1,517","9,914","5,311","7,334"
77011,"19,547","5,477","6,932","$80,300 ","5,940","$26,838 ","10,220","9,327","12,470",433,214,60,18,"5,666",686,"2,647","1,645","1,307",341,921,"1,599","3,420",992,"5,096","3,446","5,920"
77058,"16,406","1,989","9,667","$158,400 ","8,558","$49,589 ","8,150","8,256","11,898","1,210",112,"1,776",22,827,561,"2,578","1,192","3,936",852,"1,998","1,016","5,544","1,109","6,477","3,505","3,740"
77091,"23,472","3,269","10,992","$95,300 ","8,366","$27,903 ","11,180","12,292","5,404","14,464",144,121,4,"2,777",558,"2,539","2,977","2,340",510,"1,938","1,658","4,770","2,626","6,749","3,984","6,800"
77018,"25,563","3,861","11,837","$218,400 ","10,557","$61,980 ","12,698","12,865","18,638","2,665",176,354,7,"3,036",687,"4,468","1,828","3,342",919,"4,603","2,731","3,223","1,280","10,778","4,385","6,092"
77079,"31,280","4,284","13,335","$326,400 ","12,201","$95,589 ","14,995","16,285","23,602","2,518",102,"2,740",10,"1,395",913,"6,835","1,873","3,034",459,"5,056","2,866","4,279","1,134","11,709","5,140","7,224"
77008,"30,482","4,675","16,526","$292,200 ","14,878","$70,293 ","15,523","14,959","23,874","1,460",237,876,12,"3,170",853,"5,248","1,739","6,104","1,787","5,907","2,159","6,812","1,648","15,550","5,328","5,333"
77012,"20,719","5,275","6,952","$82,600 ","6,035","$34,975 ","11,000","9,719","12,926",574,179,265,2,"5,937",836,"2,819","1,704","1,130",382,"1,120","1,322","3,593",917,"6,988","3,909","5,662"
77061,"24,457","3,089","9,555","$113,800 ","8,312","$34,566 ","12,539","11,918","11,020","5,152",174,"1,319",8,"6,023",761,"3,349","2,366","1,989",608,"1,990","1,192","5,130","1,243","7,600","4,725","6,128"
77078,"14,777","1,380","4,898","$70,700 ","4,405","$30,368 ","7,045","7,732","2,924","9,130",67,20,1,"2,371",264,"1,666","1,770",809,160,"1,584",975,"1,846",493,"4,470","2,233","5,354"
77022,"29,557","5,061","10,692","$81,700 ","9,449","$28,810 ","14,948","14,609","14,057","6,001",218,96,14,"8,163","1,008","3,690","2,682","2,578",499,"1,952","2,219","5,278","1,243","8,292","4,501","8,802"
77016,"26,989","2,791","10,593","$63,700 ","9,279","$31,327 ","13,029","13,960","3,634","19,044",163,47,2,"3,667",432,"3,162","3,387","2,363",367,"2,596","3,593","3,090","1,314","6,688","4,548","10,108"
77067,"30,559","5,100","10,595","$94,700 ","9,288","$37,309 ","14,942","15,617","8,375","12,790",145,"1,976",19,"6,102","1,152","3,983","3,074","1,759",472,"3,494",725,"5,069","1,307","9,985","4,195","7,160"
77041,"37,146","2,007","11,997","$137,200 ","11,506","$70,608 ","18,607","18,539","20,960","3,220",274,"5,789",21,"5,649","1,233","7,384","1,834","1,831",457,"6,522","2,188","2,796",491,"12,910","6,321","8,016"
77096,"32,628","5,451","15,431","$255,900 ","13,968","$63,346 ","15,417","17,211","20,448","6,076",109,"2,687",9,"2,455",844,"6,287","2,387","4,528",766,"4,291","3,008","6,669","1,463","13,005","6,439","8,054"
